Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Nest count,Nest count type,Nest site,At colony,Colony type,Colony description,ISO date
Blue-breasted Cordon-bleu,Uraeginthus angolensis,839,2020-07-09,08:02,Heard,-3.36918,39.906557,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:02:31.858+0300
African Pied Wagtail,Motacilla aguimp,685,2020-07-09,08:03,Seen,-3.369325,39.906539,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:03:35.182+0300
Collared Sunbird,Hedydipna collaris,771,2020-07-09,08:04,Heard,-3.369318,39.906532,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:04:04.672+0300
Yellow-fronted Canary,Crithagra mozambica,859,2020-07-09,08:05,Seen,-3.369104,39.906717,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:05:06.009+0300
Black-backed Puffback,Dryoscopus cubla,712,2020-07-09,08:10,Heard,-3.368684,39.904913,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:10:37.208+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-09,08:12,Seen,-3.368711,39.904533,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:12:19.385+0300
Red-eyed Dove,Streptopelia semitorquata,314,2020-07-09,08:14,Heard,-3.36906,39.903737,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:14:35.200+0300
African Palm Swift,Cypsiurus parvus,387,2020-07-09,08:14,Seen,-3.369039,39.903672,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:14:57.534+0300
House Crow,Corvus splendens,989,2020-07-09,08:15,Seen,-3.36905,39.903617,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:15:33.439+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-07-09,08:15,Heard,-3.369025,39.903521,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:15:56.918+0300
African Golden Oriole,Oriolus auratus,520,2020-07-09,08:19,Seen,-3.369235,39.902277,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:19:42.925+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-09,08:23,Heard,-3.369352,39.90141,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:23:21.584+0300
African Paradise Flycatcher,Terpsiphone viridis,682,2020-07-09,08:23,Seen,-3.369367,39.901395,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:23:47.871+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-07-09,08:25,Seen,-3.369334,39.901182,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:25:22.144+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2020-07-09,08:26,Seen,-3.369309,39.901022,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:26:31.570+0300
White-browed Coucal,Centropus superciliosus,1036,2020-07-09,08:32,Heard,-3.369068,39.899295,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:32:08.608+0300
Black-headed Oriole,Oriolus larvatus,521,2020-07-09,08:35,Heard,-3.368927,39.898041,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:35:30.420+0300
Collared Sunbird,Hedydipna collaris,771,2020-07-09,08:40,Heard,-3.368189,39.897004,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:40:58.358+0300
Green Wood-hoopoe,Phoeniculus purpureus,419,2020-07-09,08:43,Seen,-3.367792,39.897242,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:43:12.342+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-07-09,08:43,Heard,-3.367746,39.897261,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T08:43:32.044+0300
