Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
White-browed Coucal,White-browed Coucal,1036,2021-05-25,10:09,Seen,-3.365003,39.94961,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:09:47.066+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-25,10:04,Heard,-3.363798,39.94945,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:04:09.323+0300
Common Drongo,Fork-tailed Drongo,517,2021-05-25,10:03,Heard,-3.36376,39.949467,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:03:49.622+0300
African Palm Swift,African Palm Swift,387,2021-05-25,10:03,Seen,-3.363773,39.949462,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:03:39.800+0300
Northern Grey-headed Sparrow (Parrot-billed),Parrot-billed Sparrow,3834,2021-05-25,10:00,Seen,-3.363628,39.94972,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:33.028+0300
Unidentified,Unidentified,0,2021-05-25,10:00,Seen,-3.363617,39.949758,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:21.485+0300
Unidentified,Unidentified,0,2021-05-25,10:00,Seen,-3.363613,39.949807,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:13.979+0300
Pale Batis,Pale Batis,675,2021-05-25,09:56,Seen,-3.362878,39.950415,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:56:00.769+0300
Pale Flycatcher,Pale Flycatcher,662,2021-05-25,09:55,Seen,-3.36284,39.950478,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:55:52.987+0300
Black Kite (resident),Yellow-billed Kite,129,2021-05-25,09:54,Seen,-3.362673,39.950805,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:54:31.742+0300
Martial Eagle,Martial Eagle,142,2021-05-25,09:51,Seen,-3.36286,39.952145,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:51:04.500+0300
African Palm Swift,African Palm Swift,387,2021-05-25,09:48,Seen,-3.362888,39.95238,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:48:49.338+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-25,09:41,Heard,-3.363675,39.955655,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:41:38.219+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-05-25,09:29,Heard,-3.363115,39.957705,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:29:11.133+0300
African Bare-eyed Thrush,Bare-eyed Thrush,2750,2021-05-25,09:27,Heard,-3.363138,39.958143,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:27:24.935+0300
Grey-headed Bushshrike,Grey-headed Bushshrike,723,2021-05-25,09:25,Heard,-3.363385,39.958353,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:25:55.766+0300
Purple-banded Sunbird,Purple-banded Sunbird,756,2021-05-25,09:23,Seen,-3.363873,39.95883,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:23:53.698+0300
Red-fronted Tinkerbird,Red-fronted Tinkerbird,436,2021-05-25,09:21,Heard,-3.364245,39.959373,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:21:25.549+0300
Hadeda,Hadada Ibis,84,2021-05-25,09:21,Heard,-3.36427,39.959395,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:21:01.473+0300
Great Sparrowhawk,Black Sparrowhawk,159,2021-05-25,09:19,Seen,-3.364457,39.959573,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:19:40.682+0300
Water Thick-knee,Water Thick-knee,274,2021-05-25,09:18,Heard,-3.364595,39.95965,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:18:49.557+0300
African Paradise Flycatcher,African Paradise Flycatcher,682,2021-05-25,09:16,Heard,-3.364715,39.959858,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:16:08.566+0300
Village Weaver,Village Weaver,797,2021-05-25,09:15,Seen,-3.36471,39.95983,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:15:46.085+0300
Black-backed Puffback,Black-backed Puffback,712,2021-05-25,09:14,Heard,-3.364863,39.959822,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:14:42.570+0300
White-browed Robin Chat,White-browed Robin-Chat,580,2021-05-25,09:07,Heard,-3.364937,39.96037,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:07:41.464+0300
